datetime,t2m,mer,mror,msmr,mtpr,sd,swvl1,sd_diff
2019-03-21,278.2425,-1.3538567e-05,1.3337306e-05,2.288903e-05,9.117309e-06,0.058125902,0.35293853,-0.0020844154
2019-03-22,276.71777,-1.0580469e-05,1.7804057e-05,1.2316948e-05,6.6285655e-05,0.056592762,0.35181132,-0.0015331395
2019-03-23,276.6858,-1.2038974e-05,2.0581552e-05,2.2988674e-05,0.00010954747,0.058534153,0.3700809,0.0019413903
2019-03-24,275.5182,-1.6837359e-05,1.077985e-05,7.957992e-06,1.3632723e-05,0.05888016,0.37604976,0.0003460087
2019-03-25,277.64185,-1.20687355e-05,2.2074553e-05,3.181273e-05,0.00017033158,0.060000915,0.37111446,0.0011207536
2019-03-26,275.8398,-1.4727312e-05,1.3728865e-05,2.5685351e-05,2.7263273e-05,0.061892826,0.38776064,0.001891911
2019-03-27,277.63092,-1.470537e-05,2.5668165e-05,4.535342e-05,0.0001443482,0.061108194,0.39451873,-0.0007846318
2019-03-28,276.01074,-1.5380141e-05,1.6111768e-05,1.6713817e-05,6.942338e-05,0.06077485,0.40171012,-0.0003333427
2019-03-29,276.6256,-1.8184728e-05,1.5188954e-05,1.3982813e-05,3.9589475e-05,0.060855392,0.39622974,8.0540776e-05
2019-03-30,276.39746,-2.0198693e-05,1.1701458e-05,1.2316331e-05,1.0441907e-05,0.059827324,0.3893389,-0.0010280684
2019-03-31,278.69888,-2.199251e-05,1.1496958e-05,1.7264681e-05,3.7384565e-10,0.058623154,0.37474826,-0.0012041703
2019-04-01,281.3554,-1.5291082e-05,2.3254206e-05,3.70418e-05,6.12323e-05,0.056657586,0.37611875,-0.0019655675
2019-04-02,280.61313,-1.465733e-05,4.0424915e-05,7.541101e-05,0.0001466906,0.053901423,0.42139894,-0.0027561635
2019-04-03,280.24387,-1.5601763e-05,1.9212664e-05,3.658348e-05,3.518187e-05,0.050769918,0.41540423,-0.003131505
2019-04-04,280.67267,-1.5624051e-05,1.9664065e-05,3.4010918e-05,3.0065692e-05,0.04819687,0.40422463,-0.0025730468
2019-04-05,279.53577,-1.6722108e-05,4.1664596e-05,3.4763772e-05,0.00012891142,0.045807604,0.41168335,-0.002389267
2019-04-06,279.08044,-2.0084757e-05,2.1826723e-05,2.4016888e-05,5.7921417e-05,0.045500915,0.41259366,-0.00030668825
2019-04-07,282.3285,-1.7695611e-05,4.5331257e-05,7.655426e-05,0.00010349815,0.042898163,0.41781008,-0.0026027523
2019-04-08,282.73178,-1.5040985e-05,9.67884e-05,9.0653026e-05,0.00023810065,0.03868514,0.42100433,-0.004213024
2019-04-09,278.30417,-2.367196e-05,4.959024e-05,2.0694488e-05,0.0001216911,0.037210047,0.42677408,-0.001475092
2019-04-10,277.39282,-2.1567912e-05,2.1056298e-05,5.843947e-06,3.2643522e-06,0.037205037,0.40255362,-5.0105155e-06
2019-04-11,278.6551,-1.8367975e-05,2.257591e-05,7.832902e-06,3.064281e-05,0.036669422,0.39064592,-0.0005356148
2019-04-12,278.4893,-1.8287234e-05,2.1678294e-05,1.3130956e-05,1.4471815e-05,0.03667516,0.39078143,5.736947e-06
2019-04-13,280.30322,-2.246216e-05,2.1628755e-05,1.8577195e-05,1.5333546e-07,0.035404395,0.38177282,-0.0012707636
2019-04-14,280.6075,-1.607512e-05,2.1818152e-05,1.764731e-05,1.50597625e-05,0.033601012,0.3745516,-0.0018033832
2019-04-15,277.05173,-1.6272243e-05,2.1727787e-05,7.6532115e-06,4.4425164e-05,0.033046182,0.37382776,-0.00055482984
2019-04-16,277.82346,-2.2183798e-05,2.5990475e-05,1.7052487e-05,6.0284772e-05,0.03427933,0.3969233,0.0012331493
2019-04-17,281.46127,-2.5425628e-05,2.2677974e-05,2.9197085e-05,1.8364933e-08,0.032702737,0.38411283,-0.001576595
2019-04-18,285.16956,-3.0241143e-05,2.6466221e-05,3.997044e-05,1.1131737e-07,0.029785069,0.36998984,-0.0029176679
2019-04-19,287.54636,-3.0214005e-05,3.108335e-05,4.737317e-05,4.2153824e-06,0.02610112,0.3558135,-0.003683949
2019-04-20,283.6751,-1.964814e-05,3.793404e-05,4.0769854e-05,9.732341e-05,0.022302413,0.36835203,-0.0037987065
2019-04-21,280.41968,-2.735652e-05,2.6156693e-05,2.2303848e-05,4.1949916e-06,0.020656895,0.38286862,-0.0016455185
2019-04-22,283.24716,-3.1644875e-05,2.7464626e-05,2.5819874e-05,6.2239974e-07,0.018621571,0.3611531,-0.0020353235
2019-04-23,287.00977,-3.0182866e-05,3.3999844e-05,3.8975133e-05,1.353152e-06,0.016009191,0.34449953,-0.0026123803
2019-04-24,287.7262,-2.883964e-05,3.345212e-05,3.3230503e-05,1.3418605e-06,0.012711737,0.33206847,-0.0032974537
